Sr.no,Current Station,Activity,Checkbox,text_req,Product,New Station No.
1,Comissioning,Visual check of VI housing for chip off / major cracks,Y,,3AH0,NA
2,Comissioning,Coil  Volt = 240 /125/ 110/ 30/ 24 as per OIS,Y,,3AH0,NA
3,Comissioning,Motor  Volt = 240/ 125/ 110/ 30/ 24 as per OIS,Y,,3AH0,NA
4,Comissioning,"Clean surface before sticker fixing Y1,Y3,Y9,K1,M1,S1,X0,V1",Y,,3AH0,NA
5,Comissioning," Sticker in proper Location & position  Y1,Y3,Y9,K1,M1,S1,X0,V1",Y,,3AH0,NA
6,Comissioning,Check Counter for lever & spring in packet,Y,,3AH0,NA
7,Comissioning, Check for required play & smooth rotation of bearing in shaft ,Y,,3AH0,NA
8,Pole stn,Orientation of tube label ( Left edge of sticker & right edge of current link must be in line),Y,,3AH0,Pole stn
9,Pole stn,Insert fixture below steel sleeve before torque application to grub screw,Y,,3AH0,Pole stn
10,Pole stn,40N-m torque to be applied on nut for current link to VI,Y,,3AH0,Pole stn
11,Pole stn,20 N-m torque to be applied for contact arm to housing & MS nut plate,Y,,3AH0,Pole stn
12,Pole stn,20 N-m torque to be applied for current link to contach arm,Y,,3AH0,Pole stn
13,Pole stn,Orientation of current link to be straight,Y,,3AH0,Pole stn
14,Pole stn,40N-m torque to be applied for VI to housing,Y,,3AH0,Pole stn
15,Pole stn,20N-m torque to be applied for insulating stud to grub screw,Y,,3AH0,Pole stn
16,Pole stn,Tube Height: M10 pin passing through holes of fixture & J lever from both sides,Y,,3AH0,Pole stn
17,Pole stn,20N-m torque to be applied forJ lever to insulating stud,Y,,3AH0,Pole stn
18,Mounting,PCD of contact arms to be maintained with Fixture fixed to top & bottom contact arm,Y,,3AH0,A2
19,Mounting,40N-m torque to be applied for VI hsg with casing,Y,,3AH0,A2
20,Mounting,Check for tightness of mounting bolts & mark it ,Y,,3AH0,A2
21,Gearbox,Coil Dowel pin should not touch the rod connected to black knob,Y,,3AH0,A2
22,Gearbox,Gearbox operation should be noise free during motor rotation,Y,,3AH0,A2
23,D 1,Tight Sw on spring bracket after gearbox is fixed,Y,,3AH0,A3
24,D 1,Locktite to be applied on M4 screw for coil fixing,Y,,3AH0,A3
25,D 1,Locktite to be applied on M6 screw for motor fixing,Y,,3AH0,A3
26,D 2,Shaft washer at either ends should be neither too loose nor very tight,Y,,3AH0,A3
27,D 2,Check interlock for free movement after final tightening,Y,,3AH0,A3
28,D 3,Centering of off lever with shaft bearing in closed position,Y,,3AH0,A4
29,D 3,Counter check for single count operation,Y,,3AH0,A4
30,D 3,Damping Gap Go 4mm,Y,,3AH0,A4
31,D 3,Damping Gap No Go 5mm,Y,,3AH0,A4
32,D 3,Roller Gap Go 1mm,Y,,3AH0,A4
33,D 3,Roller Gap No Go 1.51mm,Y,,3AH0,A4
34,D 3,Off lever travel 15-20 mm,Y,,3AH0,A4
35,D 3,"On upon On  check (In closed condition ,charge spring & press black button ,Sw on spring should not discharge)",Y,,3AH0,A4
36,Wiring,Check for Socket coding as per rating,Y,,3AH0,A5
37,Wiring,Arrange Ferrules such that printed portion is facing up & clearly visible,Y,,3AH0,A5
38,Wiring,"Visually check for proper Lug crimping of double wires S3 13 ,S3 21",Y,,3AH0,A5
39,Finishing,"Check for Y1,Y2,Y9,K1,M1,S1 ,V1-V3 stickers on equipment",Y,,3AH0,A5
40,Finishing,Counter check for single count operation during manual on - off operation,Y,,3AH0,A5
41,Finishing,"On upon On  check (In closed condition ,charge spring & press black button ,Sw on spring should not discharge)",Y,,3AH0,A5
42,Finishing,Apply grease as per greasing plan,Y,,3AH0,A5
43,Lowering,No spacer /washer between trolley & casing,Y,,3AH0,A22
44,Alignment,Allignment of breaker contact arm with fixture contacts,Y,,3AH0,Alignment
45,Alignment,Top  contact arm insertion  upto Red mark on fixture contact,Y,,3AH0,Alignment
46,Alignment,MV Value on checklist,Y,,3AH0,Alignment
47,,Set Stroke at 7mm for all 3 phases,Y,,3AH0,
49,Mounting,PCD of contact arms to be maintained with Fixture ,Y,,3AH5,A2
50,Mounting," Torque to be applied for pole with casing                                   
25KA:110N-m                                                                                              31.5KA:170N-m",Y,,3AH5,A2
51,Mounting,Check for tightness of mounting bolts & mark it ,Y,,3AH5,A2
52,Gearbox,Coil Dowel pin should not touch the rod connected to black knob,Y,,3AH5,A2
53,Gearbox,Gearbox operation should be noise free during motor rotation,Y,,3AH5,A2
54,D 1,Tight Sw on spring bracket after gearbox is fixed,Y,,3AH5,A3
55,D 1,Locktite to be applied on M4 screw for coil fixing,Y,,3AH5,A3
56,D 1,Locktite to be applied on M6 screw for motor fixing,Y,,3AH5,A3
57,D 2,Shaft washer at either ends should be neither too loose nor very tight,Y,,3AH5,A3
58,D 2,Check interlock for free movement after final tightening,Y,,3AH5,A3
59,D 3,Centering of off lever with shaft bearing in closed position,Y,,3AH5,A4
60,D 3,Counter check for single count operation,Y,,3AH5,A4
61,D 3,"Damping Gap                                                                                                          Go -NO GO
25KA: 4-5mm                                                                                                          31.5KA:0-1mm",Y,,3AH5,A4
62,D 3,Roller Gap Go 1mm,Y,,3AH5,A4
63,D 3,Roller Gap No Go 1.51mm,Y,,3AH5,A4
64,D 3,Off lever travel 15-20 mm,Y,,3AH5,A4
65,D 3,"On upon On  check (In closed condition ,charge spring & press black button ,Sw on spring should not discharge)",Y,,3AH5,A4
66,Wiring,Check for Socket coding as per rating,Y,,3AH5,A5
67,Wiring,Arrange Ferrules such that printed portion is facing up & clearly visible,Y,,3AH5,A6
68,Wiring,"Visually check for proper Lug crimping of double wires S3 13 ,S3 21",Y,,3AH5,A7
69,Finishing,"Check for Y1,Y2,Y9,K1,M1,S1 ,V1-V3 stickers on equipment",Y,,3AH5,A8
70,Finishing,Counter check for single count operation during manual on - off operation,Y,,3AH5,A9
71,Finishing,"On upon On  check (In closed condition ,charge spring & press black button ,Sw on spring should not discharge)",Y,,3AH5,A10
72,Finishing,Apply grease as per greasing plan,Y,,3AH5,A11
73,Alignment,Check for Allignment of breaker contact arm with fixture contacts,Y,,3AH5,Alignment
74,Alignment,Top  contact arm insertion  upto Red mark on fixture contact,Y,,3AH5,Alignment
75,Alignment,MV Value on checklist,Y,,3AH5,Alignment
76,,Set Stroke at 7mm for all 3 phases,Y,,3AH5,
78,Ht Setting,Orientation of Tube label (Left edge of sticker & right edge of current link must be in line)  ,Y,,3AH5,Ht Setting
79,Ht Setting,28 N-m torque to be applied on soc hd bolt for J lever & current link to VI,Y,,3AH5,Ht Setting
80,P1,Check if small hole on shield is outside,Y,,3AH5,P1
81,P1, Silver washer straight before tightening,Y,,3AH5,P1
82,P1,20 N-m torque to be applied on soc hd bolt for current link to bottom flange,Y,,3AH5,P1
83,P1,Orientation of current link & silver washer wrt flange to be straight,Y,,3AH5,P1
84,P2,Apply grease on surface of all pins,Y,,3AH5,P2
85,P3,70N-M Torque to be applied on bolt for VI to top flange                                                              ,Y,,3AH5,P3
86,P3,Check for smooth movement of M8 pin in bottom flange slot by pressing J Lever,Y,,3AH5,P3
87,Mounting,Visual check of  bolt tightness used for fixing casing to mounting trolley,Y,,3AK,A6 and A7
88,Mounting,"70N-m torque to be applied for ""R&B"" pole chair with plate",Y,,3AK,A6 and A7
89,Mounting,"70N-m torque to be applied for ""Y"" pole chair with casing",Y,,3AK,A6 and A7
90,Mounting,40N-m torque to be applied for plate with casing,Y,,3AK,A6 and A7
91,Mounting,Check for tightness of mounting bolts & mark it ,Y,,3AK,A6 and A7
92,P1,"Apply Petroleum Jelly to VI, fixed & moving contact  (Rph )   ",Y,,3AK,A6 and A7
93,P1,Apply Petroleum Jelly to bottom flange in case of cu spray  (Rph )               ,Y,,3AK,A6 and A7
94,P1,40N-m torque to be applied for current link with bottom flange  (Rph )   ,Y,,3AK,A6 and A7
95,P1,40N-m torque to be applied for current link with VI stem   (Rph )                 ,Y,,3AK,A6 and A7
96,P1,Check of Allen bolt tightness used for fixing top & bottom flange to pole chair & mark it,Y,,3AK,A6 and A7
97,P1,Check for engagement of M16 bolt with VI,Y,,3AK,A6 and A7
98,P2,"Apply Petroleum Jelly to VI, fixed & moving contact  (Yph )   ",Y,,3AK,A6 and A7
99,P2,Apply Petroleum Jelly to bottom flange in case of cu spray  (Yph )               ,Y,,3AK,A6 and A7
100,P2,40N-m torque to be applied for current link with bottom flange  (Yph )   ,Y,,3AK,A6 and A7
101,P2,40N-m torque to be applied for current link with VI stem   (Yph )                 ,Y,,3AK,A6 and A7
102,P2,Check of Allen bolt tightness used for fixing top & bottom flange to pole chair & mark it,Y,,3AK,A6 and A7
103,P1,Check for engagement of M16 bolt with VI,Y,,3AK,A6 and A7
104,P3,"Apply Petroleum Jelly to VI, fixed & moving contact  (Bph )   ",Y,,3AK,A6 and A7
105,P3,Apply Petroleum Jelly to bottom flange in case of cu spray  (Bph )               ,Y,,3AK,A6 and A7
106,P3,40N-m torque to be applied for current link with bottom flange  (Bph )   ,Y,,3AK,A6 and A7
107,P3,40N-m torque to be applied for current link with VI stem   (Bph )                 ,Y,,3AK,A6 and A7
108,P3,Check of Allen bolt tightness used for fixing top & bottom flange to pole chair & mark it,Y,,3AK,A6 and A7
109,P3,Check for engagement of M16 bolt with VI,Y,,3AK,A6 and A7
110,P3,"130N-m torque to be applied for VI with top flange on R,Y & B pole ",Y,,3AK,A6 and A7
111,D 1,Check interlock for free movement after final tightening,Y,,3AK,A6 and A7
112,D 1,70N-m torque to be applied for Gearbox with casing,Y,,3AK,A6 and A7
113,D 1,Centering of off lever with shaft bearing in closed position,Y,,3AK,A6 and A7
114,D 1,Shaft washer at either ends should be neither too loose nor very tight,Y,,3AK,A6 and A7
115,D 2,Locktite to be applied on M6 screw for motor fixing,Y,,3AK,A6 and A7
116,D 3,Locktite to be applied on M4 screw for coil fixing,Y,,3AK,A6 and A7
117,D 7,Counter check for single count operation,Y,,3AK,A6 and A7
118,D 7,Check Shaft Degree (58-61),Y,,3AK,A6 and A7
119,D 7,Damping Gap Go 4mm,Y,,3AK,A6 and A7
120,D 7,Damping Gap No Go 5mm,Y,,3AK,A6 and A7
121,D 7,Roller Gap Go 1mm,Y,,3AK,A6 and A7
122,D 7,Roller Gap No Go 1.51mm,Y,,3AK,A6 and A7
123,D 7,Off lever travel 7-10 mm,Y,,3AK,A6 and A7
124,D 7,"On upon On  check (In closed condition ,charge spring & press black button ,Sw on spring should not discharge)",Y,,3AK,A6 and A7
125,Wiring,Check for Socket coding as per rating,Y,,3AK,A6 and A7
126,Wiring,Arrange Ferrules such that printed portion is facing up & clearly visible,Y,,3AK,A6 and A7
127,Wiring,"Visually check for proper Lug crimping of double wires S3 13 ,S3 21",Y,,3AK,A6 and A7
128,Finishing,"Check for Y1,Y2,Y9,K1,M1,S1 ,V1-V3 stickers on equipment",Y,,3AK,A6 and A7
129,Finishing,Counter check for single count operation during manual on - off operation,Y,,3AK,A6 and A7
130,Finishing,"On upon On  check (In closed condition ,charge spring & press black button ,Sw on spring should not discharge)",Y,,3AK,A6 and A7
131,Finishing,Apply grease as per greasing plan,Y,,3AK,A6 and A7
132,Alignment,Check for Alignment of breaker contacts with fixture contacts,Y,,3AK,Alignment
133,Alignment,130N-m torque to be applied for stud with tulip ,Y,,3AK,Alignment
134,Alignment,Write MV value on green card,Y,,3AK,Alignment
135,,Set Stroke at 7mm for all 3 phases,Y,,,
136,Mounting,PCD of insulator to be maintained with Fixture ,Y,,3AH5P,A2
137,Mounting, Torque to be applied for insulator with casing  M16 bolt :  110N-M                                 ,Y,,3AH5P,A2
138,Mounting,Check for tightness of mounting bolts & mark it ,Y,,3AH5P,A2
143,Gearbox,Coil Dowel pin should not touch the rod connected to black knob,Y,,3AH5P,A2
144,Gearbox,Gearbox operation should be noise free during motor rotation,Y,,3AH5P,A2
139,P1," Torque to be applied for VI with top flange  
M12 bolt : 70 N-M                                 ",Y,,3AH5P,P1
140,P1,Tight upper rail & top plate to casing ,Y,,3AH5P,P1
141,P2," Torque to be applied for current link with VI  
M10 bolt :  40N-M                                 ",Y,,3AH5P,P2
142,P2," Torque to be applied for current link with bottom flange  
M8 bolt :  20N-M                                 ",Y,,3AH5P,P2
145,D 1,Tight Sw on spring bracket after gearbox is fixed,Y,,3AH5P,A3
146,D 1,Locktite to be applied on M4 screw for coil fixing,Y,,3AH5P,A3
147,D 1,Locktite to be applied on M6 screw for motor fixing,Y,,3AH5P,A3
148,D 2,Shaft washer at either ends should be neither too loose nor very tight,Y,,3AH5P,A3
149,D 2,Check interlock for free movement after final tightening,Y,,3AH5P,A3
150,D 2,Centering of off lever with shaft bearing in closed position,Y,,3AH5P,A3
151,D 3,Counter check for single count operation,Y,,3AH5P,A4
152,D 3,Damping Gap Go  0-1mm,Y,,3AH5P,A4
153,D 3,Damping Gap No Go 1.5mm,Y,,3AH5P,A4
154,D 3,Roller Gap Go 1mm,Y,,3AH5P,A4
155,D 3,Roller Gap No Go 1.51mm,Y,,3AH5P,A4
156,D 3,Off lever travel 18 mm,Y,,3AH5P,A4
157,D 3,"On upon On  check (In closed condition ,charge spring & press black button ,Sw on spring should not discharge)",Y,,3AH5P,A4
158,Wiring,Check for Socket coding as per rating,Y,,3AH5P,A5
159,Wiring,Arrange Ferrules such that printed portion is facing up & clearly visible,Y,,3AH5P,A5
160,Wiring,"Visually check for proper Lug crimping of double wires S3 13 ,S3 21",Y,,3AH5P,A5
161,Finishing,"Check for Y1,Y2,Y9,K1,M1,S1 ,V1-V3 stickers on equipment",Y,,3AH5P,A5
162,Finishing,Counter check for single count operation during manual on - off operation,Y,,3AH5P,A5
163,Finishing,"On upon On  check (In closed condition ,charge spring & press black button ,Sw on spring should not discharge)",Y,,3AH5P,A5
164,Finishing,Apply grease as per greasing plan,Y,,3AH5P,A5
165,Alignment,Allignment of breaker contact arm with fixture contacts,Y,,3AH5P,Alignment
166,Alignment,Top  contact arm insertion  upto Red mark on fixture contact,Y,,3AH5P,Alignment
167,Alignment,Write MV value on green card,Y,,3AH5P,Alignment
168,,Set Stroke at 7mm for all 3 phases,Y,,3AH5P,
170,Mounting,Visual check of  bolt tightness used for fixing casing to mounting trolley,Y,,3AH3,A6 and A7
171,Mounting,Torque to be applied for mounting rail/plate with casing                                                     36KV/24KV/31.5KA/40KA:70 N/M ,Y,,3AH3,A6 and A8
172,Mounting,"Torque to be applied for insulator with rail/Plate                                                                          36KV : 245N-M    (Bolt 24mm)
 24KV : 110N-M    (Bolt 16mm) 
31.5KA: 170N-M (Bolt 20mm)
40KA:Fixed with plate by vendor",Y,,3AH3,A6 and A9
173,Mounting,Check for tightness of mounting bolts & mark it ,Y,,3AH3,A6 and A10
174,P1,Pass rod through all three bottom flanges before tightening to ensure strightness,Y,,3AH3,A6 and A11
175,P1,8 N-m torque to be applied on Allen bolt for current link with bottom flange    ,Y,,3AH3,A6 and A12
176,P1,Apply grease on pins ,Y,,3AH3,A6 and A13
177,P3,110N-m torque to be applied for VI with Top flange   ,Y,,3AH3,A6 and A14
178,P3,Ensure VI label to right,Y,,3AH3,A6 and A15
179,P3,Torque to be applied for current link terminal with VI stem                                                 M8:20N-M  (Single bolt)                                                                                                                                                M10:40N-M (Double bolt)                                          ,Y,,3AH3,A6 and A16
180,P3,Ensure current link terminal touches the spacer before tightening,Y,,3AH3,A6 and A17
181,D 1,Check interlock for free movement after final tightening,Y,,3AH3,A6 and A18
182,D 1,70N-m torque to be applied for Gearbox with casing,Y,,3AH3,A6 and A19
183,D 2,Locktite to be applied on M6 screw for motor fixing,Y,,3AH3,A6 and A20
184,D 4,Locktite to be applied on M4 screw for coil fixing,Y,,3AH3,A6 and A21
185,D 4,Check Shaft Degree (58-61),Y,,3AH3,A6 and A22
186,D 5,Centering of off lever with shaft bearing in closed position,Y,,3AH3,A6 and A23
187,D 5,Shaft washer at either ends should be neither too loose nor very tight,Y,,3AH3,A6 and A24
188,D 7,Damping Gap Go 4mm,Y,,3AH3,A6 and A25
189,D 7,Damping Gap No Go 5mm,Y,,3AH3,A6 and A26
190,D 7,Roller Gap Go 1mm,Y,,3AH3,A6 and A27
191,D 7,Roller Gap No Go 1.51mm,Y,,3AH3,A6 and A28
192,D 7,Off lever travel 7-10 mm,Y,,3AH3,A6 and A29
193,Wiring,Check for Socket coding as per rating,Y,,3AH3,A6 and A30
194,Wiring,Arrange Ferrules such that printed portion is facing up & clearly visible,Y,,3AH3,A6 and A31
195,Wiring,"Visually check for proper Lug crimping of double wires S3 13 ,S3 21",Y,,3AH3,A6 and A32
196,Finishing,"Check for Y1,Y2,Y9,K1,M1,S1 ,V1-V3 stickers on equipment",Y,,3AH3,A6 and A33
197,Finishing,Counter check for single count operation during manual on - off operation,Y,,3AH3,A6 and A34
198,Finishing,"On upon On  check (In closed condition ,charge spring & press black button ,Sw on spring should not discharge)",Y,,3AH3,A6 and A35
199,Finishing,Apply grease as per greasing plan,Y,,3AH3,A6 and A36
200,Alignment,"Check for fixed contacts on fixture as per type,rating",Y,,3AH3,Alignment
201,Alignment,Allignment of breaker contacts with fixture contacts,Y,,3AH3,Alignment
202,Alignment,"Torque to be applied for contact arm with flange M10:40N-M,M12:70N/M ",Y,,3AH3,Alignment
203,Alignment,Write MV value on green card,Y,,3AH3,Alignment
204,,Set Stroke at 7mm for all 3 phases,Y,,3AH3,
205,Alignment,Check for tightness of all bolts,Y,,"3AK/3AH0,3AH5DTC",Alignment
206,Alignment,Visibility of markings,Y,,"3AK/3AH0,3AH5DTC",Alignment
207,Alignment,MV drop unit calibration due date,Y,,"3AK/3AH0,3AH5DTC",Alignment
208,Alignment,Check for operation of MV unit,Y,,"3AK/3AH0,3AH5DTC",Alignment
209,Alignment,Check for routing of wires,Y,,"3AK/3AH0,3AH5DTC",Alignment
210,Alignment,Check for insulation damage of cables,Y,,"3AK/3AH0,3AH5DTC",Alignment
211,FINAL ASSEMBLY,HOUSING TAKEN AS PER BREAKER RATING ,Y,,SION M,B2 and B3
212,FINAL ASSEMBLY,POLE TAKEN AS PER BREAKER RATING,Y,,SION M,B2 and B3
213,FINAL ASSEMBLY,"At pole mounting Verify all the 12 bolts are placed and 
24nm Torque is applied on the bolts ",Y,,SION M,B2 and B3
214,FINAL ASSEMBLY,PCD FIXTURE PROPERLY TIGHTNED BEFORE TIGHTNEING THE POLES ,Y,,SION M,B2 and B3
215,FINAL ASSEMBLY,ENSURE NO GAP BETWEEN NOTCH OF C PLATE AND THE BASE OF HOUSING,Y,,SION M,B2 and B3
216,FINAL ASSEMBLY,ENSURE SMOOTH MOVEMENT OF CATCH HOOK ASSEMBLY ,Y,,SION M,B2 and B3
217,FINAL ASSEMBLY,ENSURE DAMPING PLATE IS PROPERLY RESTING ON THE SLOTS OF THE HOUSING ,Y,,SION M,B2 and B3
218,FINAL ASSEMBLY,FREE ROTATION OF SHAFT AFTER BEARING RIVETING ,Y,,SION M,B2 and B3
219,FINAL ASSEMBLY,FIX CORE DRIVE IN ALL THE FOUR SLOTS OF SUPPORT PLATE,Y,,SION M,B2 and B3
220,FINAL ASSEMBLY,ENSURE ALL THE CIRCLIPS ARE IN PLACE ,Y,,SION M,B2 and B3
221,FINAL ASSEMBLY,ENSURE ALL THE TENSION SPINGS ON THE DRIVES ARE FIXED PROPERLY,Y,,SION M,B2 and B3
222,FINAL ASSEMBLY,Ensure  24nm Torque applied on Damper assembly ,Y,,SION M,B2 and B3
223,FINAL ASSEMBLY,Ensure 20nm  Torque applied  at Y2 solenoid  and Torque marking done ,Y,,SION M,B2 and B3
224,FINAL ASSEMBLY,CHECK MANAUL SPRING CHARGE/ CLOSE /OPEN  OPERATION ,Y,,SION M,B2 and B3
225,POLE ASSEMBLY,VERIFY THE OIS AND PICKING CHECKLIST ARE MATCHING,Y,,SION M,POLE ASSEMBLY
226,POLE ASSEMBLY,VERIFY THE FLEXIBLE CURRENT LINK AND FLANGES ARE CLEANED WITH SCROTCH BRIDE,Y,,SION M,POLE ASSEMBLY
227,POLE ASSEMBLY,"VERIFY PETROLEUM JELLY IS APPLIED IN 
1.) VI FIXED CONTACT 
2.) TOP FLANGES 
",Y,,SION M,POLE ASSEMBLY
228,POLE ASSEMBLY,"Top flange assembly 
Bolt Length M10*65mm
Torque 32 Nm",Y,,SION M,POLE ASSEMBLY
229,POLE ASSEMBLY,SET THE VI  FIXTURE ACCORDING TO  BREAKER RATING (26.3kA/31.5kA),Y,,SION M,POLE ASSEMBLY
230,POLE ASSEMBLY,KEEP THE SERIAL NUMBER STICKER OF THE VI  ON UPPER SIDE,Y,,SION M,POLE ASSEMBLY
231,POLE ASSEMBLY,"CLEANING OF CURRENT CARRYING PARTS 
( FLEXIBLE CURRENT LINK, FLANGES )",Y,,SION M,POLE ASSEMBLY
232,POLE ASSEMBLY,APPLICATION OF PETROLEUM JELLY AT CONTACT PARTS ,Y,,SION M,POLE ASSEMBLY
233,POLE ASSEMBLY,"VERIFY THE FOLLOWING HARDWARES ARE USED PROPER SEQUENCE 
- HEXAGON NUT
- SPRING WASHER
- PLAIN WASHER
- CURRENT LINK
ENSURE SILVER WASHER USED IF RATING IS HIGHER THAN 800 Amp",Y,,SION M,POLE ASSEMBLY
234,POLE ASSEMBLY,ENSURE THE CURRENTLINK HOLDING FIXTURE IS USED WHILE ASSEMBLY,Y,,SION M,POLE ASSEMBLY
235,POLE ASSEMBLY,"Currentlink assembly with Bottom flange 
- screw  M6*25mm
- Schnorr disc
- Disc
TORQUE : 10 Nm",Y,,SION M,POLE ASSEMBLY
236,POLE ASSEMBLY,SET THE STROKE FIXTURE AS PER THE RATING (26.3kA/31.5kA),Y,,SION M,POLE ASSEMBLY
237,POLE ASSEMBLY,ENSURE ALL THE BOLTS ARE TIGHTENED AND GREEN SIGNAL AT TORQUE TOOL ,Y,,SION M,POLE ASSEMBLY
238,POLE ASSEMBLY,ENSURE CONTINUITY AS PER THE FIXTURE FOR PROPER STROKE SETTING ,Y,,SION M,POLE ASSEMBLY
239,POLE ASSEMBLY,ENSURE SMOOTH ALIGNMNENT OF BOLTS/PINS WHILE ASSEMBLY ,Y,,SION M,POLE ASSEMBLY
